PROVINCE,DISTRICT,POPULATION,2020 14,2020 15,2020 16,2020 17,2020 18,2020 19,2020 20,2020 21,2020 22,2020 23,2020 24,2020 25,2020 26,2020 27,2020 28,2020 29,2020 30,2020 31,2020 32,2020 33,2020 34,2020 35,2020 36,2020 37,2020 38,2020 39,2020 40,2020 41,2020 42,2020 43,2020 44,2020 45,2020 46,2020 47,2020 48,2020 49,2020 50,2020 51,2020 52,2020 53,2020 Total ,2021 1,2021 2,2021 3,2021 4,2021 5,2021 6,2021 7,2021 8,2021 9,2021 10,2021 11,2021 12,2021 13,2021 14,2021 15,2021 16,2021 17,2021 18,2021 19,2021 20,2021 21,2021 22,2021 23,2021 24,2021 25,2021 26,2021 27,2021 28,2021 29,2021 30,2021 31,2021 32,2021 33,2021 34,2021 35,2021 36,2021 37,2021 38,2021 39,2021 40,2021 41,2021 42,2021 43,2021 44,2021 45,2021 46,2021 47,2021 48,2021 49,2021 50,2021 51,2021 52,2021 53,2021 Total ,2022 1,2022 2,2022 3,2022 4,2022 5,2022 6,2022 7,2022 8,2022 9,2022 10,2022 11,2022 12,2022 13,2022 14,2022 15,2022 16,2022 17,2022 18,2022 19,2022 20,2022 21,2022 22,2022 23,2022 24,2022 25,2022 26,2022 27,2022 28,2022 29,2022 30,2022 31,2022 32,2022 33,2022 34,2022 35,2022 36,2022 37,2022 38,2022 39,2022 40,2022 41,2022 42,2022 43,2022 44,2022 45,2022 46,2022 47,2022 48,2022 49,2022 50,2022 51,2022 52,2022 Total ,Grand Total 
GAZA,XAI-XAI,"141,963",0,0,0,0,0,0,0,0,2,0,0,1,0,2,7,1,6,0,16,7,2,5,4,8,61,48,16,22,6,22,22,10,18,5,12,27,9,28,25,23,415,104,224,376,342,215,194,159,29,11,13,27,16,1,14,8,1,5,0,1,5,2,2,5,20,17,81,287,168,159,370,359,120,156,82,65,70,19,42,8,6,4,6,0,1,0,2,0,1,10,103,139,136,0,4185,139,72,127,25,16,5,6,5,7,2,4,0,0,0,0,1,0,1,2,1,3,15,27,46,48,14,11,6,2,3,0,0,1,1,0,1,2,0,0,0,0,2,1,0,0,1,0,0,0,0,5,38,640,5240
INHAMBANE,FUNHALOURO,"44,140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,11,0,0,8,1,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,5,2,35,11,14,21,14,1,5,3,0,0,0,0,0,2,0,0,0,0,0,0,5,1,7,47,10,0,237,202,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,462
INHAMBANE,GOVURO,"36,094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,12,5,1,8,1,2,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,2,21,0,46,25,52,17,2,1,4,0,1,0,1,0,1,0,1,0,0,0,0,0,2,2,9,4,0,235,55,20,12,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,17,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,389
INHAMBANE,HOMOINE,"114,877",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8,0,2,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,4,0,22,3,61,27,18,17,57,0,2,39,8,6,0,0,0,1,2,0,1,0,1,1,0,1,7,1,7,8,28,31,52,23,71,14,113,5,5,1,2,0,1,3,0,0,0,0,0,0,1,7,61,57,250,0,993,121,43,26,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,261,1276
INHAMBANE,INHAMBANE,"82,119",0,0,0,0,0,0,0,0,0,1,4,0,0,8,5,4,1,0,2,0,8,1,1,2,31,33,8,6,9,4,3,5,4,13,2,2,2,0,10,2,171,60,45,136,202,194,249,148,66,60,36,9,3,4,0,0,3,2,1,1,4,1,3,1,3,11,16,28,92,160,267,310,102,73,54,39,16,16,5,17,3,2,2,2,2,2,4,0,12,22,110,228,345,4,3175,278,321,53,11,6,1,0,0,0,0,0,0,4,0,0,0,0,1,0,3,2,4,6,19,24,16,18,11,11,9,4,2,0,1,0,3,0,0,0,0,0,3,0,0,0,1,0,3,1,1,1,12,830,4176
INHAMBANE,INHARRIME,"113,288",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,6,9,2,82,0,24,45,0,13,33,0,3,0,0,0,0,0,0,0,0,0,0,2,2,7,21,14,29,67,39,22,14,30,17,4,10,3,0,0,0,0,0,1,0,0,0,0,0,0,0,38,36,189,0,756,127,53,14,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,9,5,1,4,2,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,41,288,1050
INHAMBANE,INHASSORO,"57,037",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,1,0,4,6,2,8,1,7,3,1,0,1,0,0,0,1,1,0,0,0,3,3,4,11,10,14,26,50,72,70,33,13,20,19,10,15,4,4,1,0,0,1,0,0,0,0,0,16,32,24,65,0,556,12,21,34,14,6,2,2,1,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,5,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,679
INHAMBANE,JANGAMO,"105,306",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,3,2,0,0,4,0,1,0,0,0,2,2,0,0,3,1,22,12,16,32,14,4,6,61,21,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,8,6,29,23,25,18,12,18,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,12,35,75,2,453,9,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,45,520
INHAMBANE,MABOTE,"51,046",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,5,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,24,1,0,12,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,10,5,5,0,19,10,34,16,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,201,19,36,14,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,325
INHAMBANE,MASSINGA,"236,939",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,5,0,0,28,2,5,1,1,2,1,0,0,0,13,1,0,0,1,66,38,14,43,30,0,22,38,43,15,5,2,1,1,2,0,1,1,1,0,0,0,0,1,1,6,3,5,22,69,111,42,69,17,40,9,6,2,4,1,0,0,0,0,0,0,0,0,0,2,54,112,130,1,964,31,55,20,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,3,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,251,1281
INHAMBANE,MAXIXE,"129,993",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,2,0,2,2,5,1,2,3,9,13,4,2,3,0,9,5,67,24,70,113,91,76,60,63,104,29,5,15,0,2,1,2,2,2,2,0,4,2,3,11,15,14,39,59,174,273,346,211,68,53,42,19,14,7,3,1,0,2,0,2,0,0,0,0,1,1,104,205,540,5,2879,184,173,5,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,11,34,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,539,3485
INHAMBANE,MORRUMBENE,"136,980",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,11,10,5,31,0,0,12,48,4,9,1,2,0,0,2,0,8,0,0,0,0,0,0,0,0,0,2,19,47,50,70,40,28,9,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,49,317,0,776,76,114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,211,998
INHAMBANE,PANDA,"43,968",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,13,0,11,15,3,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,21,49,98,33,4,12,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,51,49,0,412,15,61,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,107,523
INHAMBANE,VILANCULOS,"151,709",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,2,2,0,0,0,0,0,0,0,3,6,0,1,0,22,4,0,0,25,7,45,14,9,11,31,10,0,3,4,2,3,10,0,6,0,4,2,4,3,5,10,17,128,136,389,147,99,38,30,25,17,22,5,7,4,2,1,0,0,0,0,0,1,27,19,74,174,0,1574,343,142,111,14,9,1,2,0,1,1,2,2,0,0,1,0,3,5,0,1,2,2,3,7,4,7,10,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,14,697,2293
