param,rt_0,rt_1,midpoint,k,n_t,t_I,N,S0,I0
86943,1.6000000000000003,4.3000000000000025,84,0.7000000000000001,365,4,100000,99900,100
19003,1.3000000000000005,3.9000000000000026,129,0.5,365,4,100000,99900,100
42,1.3000000000000005,2.100000000000001,96,0.6,365,4,100000,99900,100
35442,1.4000000000000004,3.0000000000000018,144,0.6,365,4,100000,99900,100
24133,1.3000000000000005,4.3000000000000025,181,0.7000000000000001,365,4,100000,99900,100
50231,1.4000000000000004,4.200000000000003,95,0.8,365,4,100000,99900,100
51893,1.4000000000000004,4.3000000000000025,143,0.4,365,4,100000,99900,100
99315,1.7000000000000006,5.000000000000004,87,0.8,365,4,100000,99900,100
37425,1.4000000000000004,3.200000000000002,100,0.8,365,4,100000,99900,100
20132,1.3000000000000005,4.000000000000003,122,0.6,365,4,100000,99900,100
97521,1.7000000000000006,4.800000000000003,96,0.7000000000000001,365,4,100000,99900,100
46407,1.4000000000000004,3.9000000000000026,100,0.1,365,4,100000,99900,100
30596,1.3000000000000005,4.900000000000004,113,0.2,365,4,100000,99900,100
65700,1.5000000000000004,3.7000000000000015,118,0.4,365,4,100000,99900,100
94131,1.6000000000000003,4.900000000000004,117,0.8,365,4,100000,99900,100
65472,1.5000000000000004,3.7000000000000015,88,0.5,365,4,100000,99900,100
59655,1.4000000000000004,4.900000000000004,157,0.6,365,4,100000,99900,100
64470,1.5000000000000004,3.6000000000000023,101,0.4,365,4,100000,99900,100
17749,1.3000000000000005,3.8000000000000025,120,0.5,365,4,100000,99900,100
22849,1.3000000000000005,4.200000000000003,168,0.2,365,4,100000,99900,100
36252,1.4000000000000004,3.100000000000002,103,0.6,365,4,100000,99900,100
74173,1.5000000000000004,4.400000000000003,81,0.2,365,4,100000,99900,100
11770,1.3000000000000005,3.300000000000002,117,0.8,365,4,100000,99900,100
1096,1.3000000000000005,2.400000000000001,133,0.7000000000000001,365,4,100000,99900,100
20214,1.3000000000000005,4.000000000000003,132,0.8,365,4,100000,99900,100
57900,1.4000000000000004,4.800000000000003,97,0.1,365,4,100000,99900,100
17884,1.3000000000000005,3.8000000000000025,137,0.5,365,4,100000,99900,100
45272,1.4000000000000004,3.8000000000000025,119,0.4,365,4,100000,99900,100
37910,1.4000000000000004,3.200000000000002,161,0.5,365,4,100000,99900,100
43005,1.4000000000000004,3.6000000000000023,158,0.6,365,4,100000,99900,100
76938,1.5000000000000004,4.600000000000003,90,0.8,365,4,100000,99900,100
81382,1.5000000000000004,4.900000000000004,141,0.8,365,4,100000,99900,100
38577,1.4000000000000004,3.300000000000002,88,0.4,365,4,100000,99900,100
6046,1.3000000000000005,2.8000000000000016,156,0.6,365,4,100000,99900,100
34291,1.4000000000000004,2.9000000000000017,136,0.2,365,4,100000,99900,100
46519,1.4000000000000004,3.9000000000000026,114,0.1,365,4,100000,99900,100
73292,1.5000000000000004,4.3000000000000025,139,0.8,365,4,100000,99900,100
42752,1.4000000000000004,3.6000000000000023,127,0.1,365,4,100000,99900,100
463,1.3000000000000005,2.300000000000001,126,0.6,365,4,100000,99900,100
7139,1.3000000000000005,2.9000000000000017,141,0.4,365,4,100000,99900,100
15331,1.3000000000000005,3.6000000000000023,115,0.1,365,4,100000,99900,100
21625,1.3000000000000005,4.100000000000003,161,0.8,365,4,100000,99900,100
92562,1.6000000000000003,4.800000000000003,73,0.6,365,4,100000,99900,100
